,Age,Country,LanguageHaveWorkedWith,LearnCode
134,25-34 years old,Brazil,HTML/CSS;JavaScript;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague"
135,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C;C++;Erlang;Go;Java;Python,"Friend or family member;School (i.e., University, College, etc);On the job training"
136,18-24 years old,United States of America,C#;C++,"Friend or family member;Other online resources (e.g., videos, blogs, forum)"
137,25-34 years old,Netherlands,Java;Kotlin;Ruby,"Friend or family member;Other online resources (e.g., videos, blogs, forum)"
138,25-34 years old,Israel,PHP;Python;Scala,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
139,55-64 years old,United States of America,C#;C++;Java;JavaScript;LISP;Python,Books / Physical media;Friend or family member;Online Courses or Certification;Colleague
140,25-34 years old,India,HTML/CSS;JavaScript;Kotlin;TypeScript,"Other online resources (e.g., videos, blogs, forum);On the job training;Coding Bootcamp"
141,35-44 years old,Sweden,C#;HTML/CSS;Java;JavaScript;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp"
142,25-34 years old,Singapore,C++;Julia;Python;Rust,Books / Physical media
143,35-44 years old,Uruguay,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby;SQL,Friend or family member
144,18-24 years old,Canada,Delphi;LISP;SQL,"Books / Physical media;School (i.e., University, College, etc)"
145,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C++;Go;Java;JavaScript;PHP;Rust;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc)"
146,,,,
147,25-34 years old,Austria,Java;JavaScript;Rust,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
148,25-34 years old,France,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
149,25-34 years old,Turkey,C#;HTML/CSS;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc)"
150,35-44 years old,Portugal,Python,"School (i.e., University, College, etc)"
151,25-34 years old,India,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,"Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification"
152,,Oman,C;C#;C++;Dart;Java;JavaScript;Kotlin;PHP;Python;Swift,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
153,25-34 years old,United States of America,Go;HTML/CSS;Java;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
154,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Scala;SQL;Swift,"Books / Physical media;School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
155,18-24 years old,United States of America,C++;Go;Java;JavaScript;SQL;TypeScript,"School (i.e., University, College, etc)"
156,25-34 years old,Belgium,C#;HTML/CSS;JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
157,25-34 years old,Chile,HTML/CSS;JavaScript,Books / Physical media;Online Courses or Certification;Coding Bootcamp
158,25-34 years old,Germany,Bash/Shell;Groovy;TypeScript,"School (i.e., University, College, etc)"
159,25-34 years old,Bulgaria,C#;HTML/CSS;JavaScript;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
160,25-34 years old,Netherlands,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python,"School (i.e., University, College, etc)"
161,45-54 years old,Germany,Python,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification"
162,25-34 years old,India,Bash/Shell;Python,Books / Physical media;Online Courses or Certification
163,35-44 years old,Ireland,Java;Python;Ruby;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
164,35-44 years old,United States of America,C#;JavaScript;Kotlin;SQL,Books / Physical media;Friend or family member
165,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Go;Groovy;Java;Python,"School (i.e., University, College, etc)"
166,18-24 years old,Romania,Bash/Shell;C++;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp"
167,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
168,18-24 years old,United States of America,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person)"
169,25-34 years old,India,Assembly;C;C++,Books / Physical media;On the job training
170,55-64 years old,United States of America,Java;Python;TypeScript,"School (i.e., University, College, etc)"
171,18-24 years old,United States of America,Bash/Shell;C;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person)"
172,35-44 years old,United Kingdom of Great Britain and Northern Ireland,C++;Python,"Books / Physical media;Friend or family member;School (i.e., University, College, etc)"
173,18-24 years old,Latvia,HTML/CSS;Java;JavaScript;PHP;Python;Rust;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Hackathons (virtual or in-person)"
174,18-24 years old,Italy,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
175,45-54 years old,Hong Kong (S.A.R.),HTML/CSS;JavaScript;PHP;PowerShell;SQL,Colleague
176,18-24 years old,United Kingdom of Great Britain and Northern Ireland,C;C++;Dart;Go;Java;JavaScript;Kotlin;Python;Rust;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
177,25-34 years old,Philippines,Bash/Shell;Java;JavaScript;PowerShell;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
178,25-34 years old,Poland,Bash/Shell;C++;HTML/CSS;Java;PHP;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
179,25-34 years old,India,Go;Java;Ruby,Online Courses or Certification
